AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,REG_FEE,COMMIS,SALES_PRICE,NULL
Karapakkam,1219,27,1,1,3,Yes,279362,89158,5943875,1
Adyar,1033,18,1,1,3,Yes,264785,40119,8023795,1
Adyar,861,153,1,1,3,Yes,235199,98632,7587075,1
Chrompet,963,170,1,1,3,Yes,222432,103272,7944000,1
Velachery,1537,71,2,1,4,No,298736,97089,7468400,1
Karapakkam,1579,118,2,2,4,No,345710,93435,9343500,1
T Nagar,1925,35,2,1,5,Yes,317209,203013,12688340,1
Karapakkam,1584,86,2,2,4,No,482782,209905,10495250,1
T Nagar,1829,31,2,1,5,Yes,512246,227665,14229060,1
Velachery,1761,5,2,1,4,No,386251,159044,11360310,1
Karapakkam,1204,150,1,1,3,Yes,268281,149045,7452250,1
Chrompet,1165,108,1,1,3,No,262280,98355,8196250,1
Chrompet,1109,48,1,1,3,No,235275,34856,8713900,1
Chrompt,818,66,1,1,3,Yes,305559,188036,11752250,1
T Nagar,1600,153,1,1,4,No,415246,195410,12213120,1
Karapakkam,1170,160,1,1,3,No,407803,141483,8322500,1
Chrompet,1288,78,2,1,4,No,232310,151895,8935000,1
Anna Nagar,1598,104,1,1,4,Yes,454192,66793,13358600,1
Chrompet,722,142,1,1,2,No,168850,32471,6494240,1
Chrompet,798,172,1,1,2,No,194585,71348,6486150,1
Karapakkam,933,15,1,1,3,Yes,349800,139920,8745000,1
Chrompet,1086,124,1,1,3,Yes,434676,182283,14021800,1
KK Nagar,1952,0,3,2,5,No,483558,145067,9671160,1
Chrompet,1052,113,1,1,3,No,196787,47229,7871490,1
Velachery,1786,22,2,1,4,No,454563,113641,14205080,1
Karapakkam,1652,107,2,2,4,No,224464,105218,7014500,1
Karapakkam,1607,105,2,2,4,Yes,186818,137000,6227250,1
Chrompet,1229,20,2,1,4,No,222515,79470,7946950,1
T Nagar,1902,130,2,1,5,No,544913,262366,20181980,1
Velachery,1677,22,2,1,4,No,406252,165040,12695370,1
Chrmpet,979,9,1,1,3,Yes,250856,98551,8959150,1
Adyar,655,25,1,1,2,No,253588,47548,7924640,1
Chrompet,947,110,1,1,3,Yes,320431,189885,11867800,1
Velachery,1882,179,3,2,5,No,434072,210835,12402070,1
Chrompet,963,97,1,1,3,Yes,223031,107385,8260400,1
Chrompet,1055,7,1,1,3,Yes,350001,181035,12069000,1
Karapakkam,1390,6,2,2,4,No,291085,106929,5940500,1
Velachery,1599,65,2,1,4,Yes,295614,55927,7989570,1
Karapakkam,1591,184,2,2,4,No,395595,87910,8791000,1
Karapakkam,1265,81,1,1,3,Yes,401080,90243,10027000,1
Adyar,870,5,1,1,3,Yes,411107,44444,11111010,1
Adyar,1122,178,1,1,3,Yes,292369,17198,8599095,1
Adyar,613,172,1,1,2,Yes,241316,73735,6703210,1
Velachery,1670,52,2,1,4,Yes,309829,81534,8153390,1
KK Nagar,1338,116,2,1,4,No,411103,231246,12846980,1
KK Nagar,1319,129,1,1,3,No,375685,86095,7826780,1
KK Nagar,1710,130,2,1,4,Yes,395213,197607,10978140,1
Anna Nagar,1938,71,2,1,5,Yes,342263,118022,11802180,1
Karapakkam,1058,39,1,1,3,Yes,260044,159382,8388500,1
Chrompet,1251,133,2,1,4,No,370236,213598,14239850,1
Anna Nagar,1710,32,1,1,4,No,603899,347700,18299980,1
Adyar,617,89,1,1,2,No,186882,54097,4917940,1
Adyar,916,107,1,1,3,No,228552,30885,6177070,1
Chrompet,1027,47,1,1,3,No,207122,61370,7671200,1
Adyar,1223,99,2,2,4,No,248308,27590,6897450,1
KK Nagar,1422,113,2,1,4,Yes,683088,153346,13940580,1
Chrompet,1081,93,1,1,3,Yes,358733,49480,12370100,1
Velachery,1603,138,2,1,4,Yes,564106,155129,14102650,1
Anna Nagar,1762,3,1,1,4,Yes,411112,249604,14682580,1
Adyar,1219,108,2,2,4,No,281210,59202,7400260,1
KK Nagar,1953,30,3,2,5,Yes,483582,216069,10288980,1
Karapakkam,1208,198,1,1,3,No,229599,51022,6377750,1
Karapakkam,849,173,1,1,2,Yes,214634,145193,6312750,1
Karapakkam,522,95,1,1,2,No,205049,109069,4362750,1
Karapakkam,1610,195,2,2,4,No,525851,225365,12520250,1
KK Nagar,1945,72,3,2,5,Yes,509220,108345,10834460,1
Adyar,884,161,1,1,3,Yes,282790,113116,9426345,1
Karapakkam,668,43,1,1,2,No,204068,78488,5232500,1
Karapakkam,740,150,1,1,2,No,211320,95094,5283000,1
Adyar,1158,188,1,1,3,Yes,385410,62499,10416480,1
Velachery,1840,21,3,2,5,Yes,518607,235731,15715370,1
Chrompet,829,18,1,1,3,Yes,293758,128519,9179950,1
Anna Nagar,1650,22,1,1,4,No,547681,239610,17115030,1
Anna Nagar,1663,64,1,1,4,No,411826,154435,12869560,1
Velachery,1913,164,3,2,5,No,267167,119522,7030720,1
Velachery,1963,195,3,2,5,No,336842,103644,8636980,1
T Nagar,1806,48,2,1,5,No,439164,102472,14638800,1
Velachery,1630,78,2,1,4,No,283900,94633,7279480,1
Karapakkam,1016,69,1,1,3,No,170003,80528,4473750,1
T Nagar,1823,0,2,1,5,Yes,513194,164222,20527770,1
Chrompet,1185,92,1,1,3,No,384019,99102,12387700,1
Karapakkam,1478,71,2,2,4,No,182809,62423,4458750,1
Chrompet,875,176,1,1,3,Yes,239050,68300,8537500,1
KK Nagar,2087,31,3,2,5,Yes,369686,254159,11552700,1
Anna Nagar,1970,180,2,1,5,Yes,383698,68518,13703500,1
Velachery,1645,35,2,1,4,Yes,459380,194888,13920600,1
TNagar,1856,76,2,1,5,No,684272,136854,19550620,1
Velachery,1782,110,2,1,4,Yes,642746,208892,16068640,1
Karapakkam,1465,192,2,2,4,Yes,300659,83161,6397000,1
KK Nagar,2439,162,4,2,6,No,366951,111197,11119720,1
KK Nagar,1693,119,2,1,4,No,411540,182907,11431660,1
Anna Nagar,1737,174,1,1,4,No,319831,115139,12793250,1
Karapakkam,1111,91,1,1,3,Yes,284831,129469,8631250,1
KK Nagar,2485,50,4,2,6,No,740382,379683,18984160,1
Velachery,1568,110,2,1,4,Yes,471795,161404,12415670,1
Karapakkam,512,4,1,1,2,No,167824,41956,5244500,1
Chrompet,958,51,1,1,3,No,353778,96485,10720550,1
T Nagar,1565,35,1,1,4,Yes,787401,255905,19685020,1
KK Nagar,1706,67,2,1,4,Yes,662406,244802,14400140,1
Velachery,1616,33,2,1,4,Yes,373484,80753,10094160,1
Anna Nagar,1531,35,1,1,4,No,681741,139844,17480550,1
Anna Nagar,1636,5,1,1,4,Yes,521841,214088,13380530,1
KK Nagar,1997,58,3,2,5,Yes,625841,345860,16469500,1
Chrompet,915,125,1,1,3,Yes,243999,40667,8133300,1
Adyar,1046,138,1,1,3,No,408888,129123,10760220,1
KK Nagar,1465,11,2,1,4,No,507409,182667,10148180,1
KK Nagar,1399,184,2,1,4,Yes,427814,106953,10695340,1
Chrompet,1126,96,1,1,3,No,293130,79944,8882720,1
Karapakkam,1368,144,2,2,4,No,311639,108396,6774750,1
Chrompet,709,156,1,1,2,No,199494,19306,6435300,1
T Nagar,1550,39,1,1,4,No,399932,144420,11109230,1
Velachery,1882,99,3,2,5,Yes,512612,199349,14239220,1
Anna Nagar,1538,62,1,1,4,Yes,294136,90503,11312920,1
Velachery,1881,169,3,2,5,No,565335,260924,14495770,1
Adyar,641,168,1,1,2,No,348175,89531,9947855,1
Anna Nagar,1912,53,2,1,5,No,358580,74189,12364840,1
Chrompet,1194,116,1,1,3,Yes,424193,150520,13683650,1
Karapakkam,1502,114,2,2,4,Yes,391787,233206,9328250,1
Anna Nagar,1649,145,1,1,4,No,564110,131626,18803650,1
Karapakkam,854,118,1,1,2,No,280525,98563,7581750,1
KK Nagar,2388,147,4,2,6,Yes,600726,240290,12014520,1
Karapakkam,1381,138,2,2,4,No,281733,107721,8286250,1
Chrompet,838,33,1,1,3,Yes,402420,195113,12194550,1
KK Nagar,1684,71,2,1,4,Yes,674768,299897,14994840,1
Anna Nagar,1740,36,1,1,4,Yes,479359,219136,13695970,1
T Nagar,1918,78,2,1,5,Yes,746911,207475,20747530,1
Karapakkam,669,154,1,1,2,No,168634,127753,5110125,1
Chrompet,965,92,1,1,3,No,250258,163630,9625300,1
Velachery,1899,91,3,2,5,No,295169,75901,8433410,1
Velachery,1553,52,2,1,4,No,216526,87964,6766430,1
Karapakkam,976,90,1,1,3,Yes,262029,165492,6895500,1
Anna Nagar,1628,133,1,1,4,No,493410,151819,12651550,1
Chrompet,894,117,1,1,3,Yes,235008,153659,9038780,1
Anna Nagar,1734,86,1,1,4,No,409406,199454,10497580,1
Karapakkam,662,140,1,1,2,No,248602,111617,5073500,1
Adyar,994,106,1,1,3,No,433395,54174,10834880,1
Chrompet,1033,4,1,1,3,No,304689,117188,11718800,1
Karapakkam,1462,182,2,2,4,No,213714,95953,4361500,1
Anna Nagar,1662,18,1,1,4,Yes,610395,362422,19074830,1
KK Nagar,1865,103,3,2,5,No,414093,128172,9859360,1
Karapakkam,1042,47,1,1,3,Yes,163223,126366,5265250,1
Chrompet,828,116,1,1,3,No,249251,105743,7553060,1
Chrompet,850,122,1,1,3,No,213713,85485,7123750,1
Karapakkam,1562,8,2,2,4,Yes,488437,249898,11359000,1
KK Nagar,1425,182,2,1,4,Yes,292863,234290,9762100,1
Anna Nagar,1813,169,2,1,5,No,321634,136076,12370550,1
Velachery,1973,91,3,2,5,No,322667,152370,8962970,1
Anna Nagar,1558,168,1,1,4,No,411987,140943,10841760,1
Velachery,1702,104,2,1,4,Yes,395487,202814,10140700,1
T Nagar,1781,187,1,1,4,No,646524,89795,17959010,1
T Nagar,1538,32,1,1,4,Yes,638976,212992,17749320,1
Velachery,1906,81,3,2,5,Yes,564492,215835,16602700,1
Anna Nagar,1782,48,1,1,4,Yes,539289,179763,14980260,1
Adyar,848,46,1,1,3,Yes,413166,68861,11476830,1
Chrompet,737,137,1,1,2,Yes,267181,71933,10276200,1
T Nagar,1512,55,1,1,4,Yes,549504,164851,13737610,1
KK Nagar,1956,29,3,2,5,Yes,477705,261600,11373920,1
KK Nagar,1402,61,2,1,4,No,484166,248626,13085580,1
Chrompet,779,119,1,1,2,Yes,196946,106048,7574830,1
Anna Nagar,1625,118,1,1,4,No,314222,84598,12085470,1
Anna Nagar,1724,136,1,1,4,No,444151,160388,12337540,1
KK Nagar,2277,181,4,2,6,Yes,412626,226279,13310520,1
T Nagar,1692,24,1,1,4,Yes,437437,164039,13669910,1
Chrompet,1184,105,1,1,3,Yes,429680,166328,13860650,1
Karapakkam,657,63,1,1,2,No,112960,72878,3643875,1
Chrompet,942,191,1,1,3,No,225230,93199,7766550,1
Velachery,1535,93,2,1,4,Yes,440567,127907,14211850,1
Chrompet,966,18,1,1,3,Yes,436651,79391,13231850,1
Karapakkam,1294,81,1,1,3,Yes,338948,155733,9160750,1
KK Nagar,2042,3,3,2,5,Yes,485789,165879,11848520,1
Adyar,1110,53,1,1,3,Yes,342442,94172,8561060,1
Chrompet,819,77,1,1,3,Yes,268353,138242,8131900,1
Chrompet,1132,10,1,1,3,No,411291,54839,13709700,1
Adyar,900,20,1,1,3,Yes,313982,30385,10128440,1
KK Nagar,2486,68,4,2,6,Yes,941567,470784,19615980,1
Karapakkam,896,107,1,1,3,Yes,216496,74421,6765500,1
Velachery,1749,31,2,1,4,Yes,569379,323161,15388610,1
Chrompet,1252,54,2,1,4,Yes,491781,223537,14902450,1
Chrompet,1234,6,2,1,4,No,345554,55289,13822150,1
KK Nagar,2306,49,4,2,6,Yes,362217,203747,11319280,1
Chrompet,814,126,1,1,3,No,293401,115582,8890930,1
Chrompet,878,48,1,1,3,No,248653,138140,9209360,1
Chrompet,1053,176,1,1,3,No,383305,185044,13217400,1
T Nagar,1809,192,2,1,5,No,621070,280483,20034510,1
Anna Nagar,1871,25,2,1,5,No,447127,134138,14904220,1
Chrompet,802,92,1,1,3,Yes,311094,145826,9721700,1
Chrompet,1191,189,1,1,3,Yes,257245,69258,9894050,1
Adyar,1025,170,1,1,3,No,325308,32531,10843610,1
KK Nagar,1392,74,2,1,4,No,454595,196582,12286360,1
KK Nagar,2499,200,4,2,6,Yes,535917,334948,13397920,1
Karapakkam,1290,100,1,1,3,Yes,287117,165310,8700500,1
Anna Nagar,1760,34,1,1,4,Yes,752815,345888,20346350,1
Chrompet,1279,126,2,1,4,No,323259,127344,9795730,1
Chrompet,816,183,1,1,3,No,320259,150122,10008100,1
T Nagar,1904,141,2,1,5,No,604317,395932,20838520,1
KK Nagar,1502,193,2,1,4,No,466735,126145,12614460,1
Chrompet,922,163,1,1,3,Yes,215866,103616,8634640,1
T Nagar,1781,142,1,1,4,No,800231,328300,20518750,1
Adyar,645,19,1,1,2,Yes,307772,61554,8793480,1
Chrompet,1142,124,1,1,3,No,409834,102458,12807300,1
T Nagar,1674,15,1,1,4,No,301894,166562,10410130,1
Adyar,781,164,1,1,2,No,435153,156209,11157780,1
Adyar,1274,166,2,2,4,No,298722,130691,9335050,1
Karapakkam,687,2,1,1,2,No,212891,100532,5913625,1
T Nagar,1886,155,2,1,5,No,469477,249410,14671170,1
T Nagar,1598,14,1,1,4,Yes,500603,140169,20024110,1
Karapakkam,593,113,1,1,2,Yes,213650,51794,6474250,1
Anna Nagar,1815,48,2,1,5,No,534986,178329,19814280,1
Karapakkam,1121,196,1,1,3,No,216418,64340,5849125,1
Chrompet,1182,4,1,1,3,No,272644,141371,10097940,1
Anna Nagar,1864,198,2,1,5,No,514704,141543,12867590,1
KK Nagar,2125,198,3,2,5,No,582980,416414,16656560,1
Chrompet,955,175,1,1,3,No,263080,29231,9743700,1
Velachery,1625,2,2,1,4,No,466444,274379,13718940,1
Chrompet,864,124,1,1,3,Yes,313916,175793,12556650,1
Chrompet,1183,143,1,1,3,Yes,334527,104540,10453960,1
Karapakkam,938,70,1,1,3,No,181985,113126,4918500,1
Karapakkam,1040,25,1,1,3,Yes,372425,114008,7600500,1
Chrompet,849,21,1,1,3,Yes,314566,58253,11650600,1
Karapakkam,914,132,1,1,3,Yes,247456,113696,6688000,1
Karapakkam,1156,122,1,1,3,Yes,447388,125269,8947750,1
Chrompet,830,191,1,1,3,Yes,358342,162883,10858850,1
KK Nagar,1655,146,2,1,4,No,314995,127967,9843580,1
KK Nagar,1693,99,2,1,4,Yes,481046,180392,10021800,1
Chrompet,1014,17,1,1,3,Yes,418933,117825,13091650,1
Chrompet,1148,152,1,1,3,No,237195,32717,8179150,1
KK Nagar,2453,53,4,2,6,No,645265,164748,13729040,1
KK Nagar,2167,194,3,2,5,No,486612,124772,12477240,1
Karapakkam,1404,43,2,2,4,Yes,384153,82319,9146500,1
T Nagar,1545,17,1,1,4,No,559477,139869,13986920,1
Velachery,1634,93,2,1,4,Yes,294404,155380,8177900,1
Chrompet,1268,40,2,1,4,Yes,362427,153757,10982650,1
KK Nagar,1682,38,2,1,4,Yes,367175,208066,12239160,1
Velachery,1787,116,2,1,4,No,347046,106042,9640180,1
Karapakkam,1337,34,2,2,4,Yes,397656,182922,7953125,1
Adyar,695,165,1,1,2,Yes,215229,6149,6149410,1
Anna Nagar,1930,163,2,1,5,No,457127,143669,13060780,1
Chrompet,1042,178,1,1,3,Yes,296269,158716,10581040,1
T Nagar,1613,178,1,1,4,No,438461,315692,17538420,1
Karapakkam,1270,39,1,1,3,Yes,393954,196977,8953500,1
Chrompet,997,114,1,1,3,Yes,385798,144674,12056200,1
Chrompet,726,74,1,1,2,No,163297,37684,6280650,1
Velachery,1853,73,3,2,5,No,340605,140249,10017780,1
Velachery,1591,27,2,1,4,No,309092,158723,8353830,1
Anna Nagar,1980,48,2,1,5,No,515980,200659,14332790,1
KK Nagar,2226,138,4,2,6,Yes,571850,116704,11670400,1
Adyar,808,88,1,1,3,No,430167,143389,11949085,1
Karapakkam,1376,181,2,2,4,No,356631,129684,8105250,1
T Nagar,1868,197,2,1,5,No,781305,340569,20033450,1
Karapakkam,1311,48,1,1,3,No,261290,84919,6532250,1
Adyar,805,63,1,1,3,Yes,321639,35738,8934405,1
Chrompet,706,100,1,1,2,No,195474,93828,7818970,1
Karapakkam,1464,184,2,2,4,No,219546,87819,6272750,1
Adyar,648,143,1,1,2,No,383846,82994,10374210,1
Velachery,1917,182,3,2,5,Yes,354609,144060,11081520,1
Adyar,1018,66,1,1,3,Yes,350106,128986,9213320,1
Anna Nagar,1694,167,1,1,4,Yes,659934,94276,18855250,1
Chrompet,1112,86,1,1,3,Yes,360819,200455,13363650,1
Karapakkam,950,116,1,1,3,Yes,249941,153810,6408750,1
Adyar,1282,149,2,2,4,Yes,393630,43737,10934170,1
Velachery,1639,73,2,1,4,No,259623,119286,7016840,1
KK Nagar,1501,16,2,1,4,Yes,491357,85453,10681680,1
Chrompet,765,22,1,1,2,No,166373,74581,5737000,1
Anna Nagar,1765,117,1,1,4,No,533085,232370,13668850,1
Karapakkam,1518,104,2,2,4,Yes,296865,138537,6597000,1
KK Nagar,2417,196,4,2,6,No,343084,217286,11436120,1
Karapakkam,1070,109,1,1,3,Yes,242244,100935,5046750,1
T Nagar,1784,71,1,1,4,Yes,459406,207474,14819560,1
Chrompet,1188,9,1,1,3,No,274330,88178,9797510,1
Karapakkam,1494,171,2,2,4,Yes,376648,131008,8188000,1
T Nagar,1810,128,2,1,5,No,715452,347505,20441490,1
Karapakkam,738,166,1,1,2,Yes,305955,54392,6799000,1
KK Nagar,1564,6,2,1,4,No,500968,100194,10019360,1
Karapakkam,1211,88,1,1,3,No,348705,153090,8505000,1
Velachery,1662,135,2,1,4,Yes,481836,147228,13384340,1
Velachery,1530,174,2,1,4,No,401494,184470,10851180,1
Adyar,909,62,1,1,3,Yes,274249,41553,8310590,1
Adyar,690,115,1,1,2,Yes,232073,22459,7486235,1
Chrompet,780,94,1,1,2,No,232980,42360,7060000,1
Chrompet,1195,43,1,1,3,No,285894,81684,10210500,1
Karapakkam,1428,37,2,2,4,Yes,448137,237249,13180500,1
Adyar,746,53,1,1,2,Yes,249237,25563,6390690,1
Adyar,921,163,1,1,3,No,222526,64604,7178250,1
Adyar,607,124,1,1,2,No,204558,53831,5383105,1
Adyar,712,37,1,1,2,No,237253,13956,6978025,1
KK Nagar,2312,88,4,2,6,No,565641,100558,12569800,1
Velachery,1809,174,3,2,5,No,439509,202850,11269470,1
T Nagar,1872,16,2,1,5,No,385396,88938,14822920,1
KK Nagar,2286,46,4,2,6,No,616544,281466,13403120,1
Karapakkam,1648,26,2,2,4,No,223188,95652,5314000,1
Anna Nagar,1522,15,1,1,4,No,451796,220106,11584500,1
Chrompet,919,70,1,1,3,No,352572,60788,12157650,1
T Nagar,1858,156,2,1,5,Yes,330086,228521,12695630,1
Chrompet,1082,194,1,1,3,Yes,336552,155332,12944300,1
Karapakkam,1338,165,2,2,4,Yes,280621,96002,7384750,1
Karapakkam,1559,59,2,2,4,No,183968,74737,5749000,1
Karapakkam,860,165,1,1,2,No,248593,90949,6063250,1
Velachery,1769,137,2,1,4,Yes,385067,192534,9626680,1
Chrompet,1197,5,1,1,3,No,231828,37092,9273100,1
Velachery,1971,5,3,2,5,Yes,591269,186717,15559710,1
Velachery,1966,35,3,2,5,Yes,386602,115980,9665040,1
KK Nagar,2176,28,3,2,5,No,423070,235039,11751940,1
Karapakkam,1519,164,2,2,4,No,244503,130781,5686125,1
KK Nagar,1892,16,3,2,5,Yes,357328,172901,11526700,1
Chrompet,786,75,1,1,2,No,227726,96611,6900800,1
Chrompet,942,18,1,1,3,Yes,324193,167009,9824040,1
Karapakkam,1344,151,2,2,4,Yes,376238,173069,7524750,1
Karapakkam,943,198,1,1,3,Yes,220166,127838,7102125,1
Chrompet,1098,62,1,1,3,No,240345,62312,8901650,1
Karapakkam,1190,77,1,1,3,No,253490,90997,6499750,1
Velachery,1590,106,2,1,4,Yes,385489,115647,9637220,1
Karapakkam,1040,142,1,1,3,Yes,296577,200907,9567000,1
KK Nagar,1524,61,2,1,4,No,454969,197812,9890620,1
Chrompet,1132,106,1,1,3,Yes,217278,83569,8356850,1
Anna Nagar,1699,185,1,1,4,Yes,752593,366648,19297260,1
Chrompet,1204,47,2,1,4,Yes,333184,171640,10096480,1
Adyar,1003,147,1,1,3,No,479836,27419,13709595,1
Anna Nagar,1610,182,1,1,4,Yes,445133,197837,12364800,1
Velachery,1869,36,3,2,5,No,250314,145343,8074630,1
Anna Nagar,1676,103,1,1,4,Yes,669970,223323,20302130,1
Adyar,929,91,1,1,3,Yes,313330,56969,9494835,1
Karapakkam,1265,108,1,1,3,No,448531,206324,8970625,1
T Nagar,1585,199,1,1,4,No,684691,210674,17556170,1
Chrompet,729,142,1,1,2,No,305672,49302,9860400,1
T Nagar,1882,180,2,1,5,No,318133,85651,12235870,1
Adyar,912,181,1,1,3,Yes,345959,93502,9350240,1
KK Nagar,2147,23,3,2,5,No,790306,326431,17180560,1
Chrompet,898,130,1,1,3,Yes,335577,51627,12906800,1
Velachery,1979,16,3,2,5,Yes,510899,191587,15965590,1
Karapakkam,1398,133,2,2,4,No,245627,141422,7443250,1
Karapakkam,942,32,1,1,3,Yes,229905,112005,5895000,1
Karapakkam,1504,182,2,2,4,No,306852,149492,7868000,1
Chrompet,821,22,1,1,3,Yes,217694,148032,8707750,1
Adyar,1045,76,1,1,3,No,339894,22660,11329800,1
Chrompet,1149,64,1,1,3,No,232917,58229,8318450,1
Anna Nagar,1666,140,1,1,4,Yes,416307,143105,13009590,1
Karapakkam,1210,66,1,1,3,Yes,266664,99999,8333250,1
Velachery,1523,83,2,1,4,Yes,306988,153494,8078620,1
Chrompet,891,95,1,1,3,No,277533,170790,10674350,1
T Nagar,1955,137,2,1,5,Yes,713685,111513,22302670,1
Chrompet,1191,54,1,1,3,No,300975,53746,10749120,1
KK Nagar,1641,144,2,1,4,No,373430,172352,9575120,1
Chrompet,740,17,1,1,2,Yes,210714,97832,7525500,1
Velachery,1588,3,2,1,4,No,364334,239094,11385450,1
Karapakkam,1272,26,1,1,3,Yes,339480,82984,7544000,1
Chrompet,879,156,1,1,3,No,304435,109597,12177400,1
Chrompet,1228,100,2,1,4,No,271920,40284,10071110,1
Karapakkam,946,165,1,1,3,No,348579,95067,7922250,1
Karapakkam,867,147,1,1,2,Yes,269194,107678,7691250,1
Velachery,1932,10,3,2,5,Yes,301611,54135,7733620,1
Velachery,1617,82,2,1,4,No,416472,169192,13014740,1
KK Nagar,2179,37,3,2,5,Yes,647002,258801,18485760,1
Karapakkam,1040,107,1,1,3,Yes,204137,62129,4437750,1
Karapakkam,950,41,1,1,3,Yes,362138,96570,8047500,1
Karapakkam,1354,72,2,2,4,No,210381,123150,5131250,1
Velachery,1739,57,2,1,4,No,363636,234604,11730190,1
Adyar,935,170,1,1,3,No,420446,81753,11679050,1
Karapakkam,1484,122,2,2,4,Yes,278421,88280,6790750,1
KK Nagar,2182,179,3,2,5,No,541630,270815,11774560,1
Anna Nagar,1711,27,1,1,4,No,391812,138286,11523870,1
Chrompet,886,184,1,1,3,No,229575,34784,6956820,1
Velachery,1760,161,2,1,4,Yes,498493,199397,16616430,1
Chrompet,1283,191,2,1,4,Yes,249776,76854,9606750,1
Karapakkam,1155,189,1,1,3,No,306263,49002,6125250,1
Karapakkam,752,154,1,1,2,Yes,197447,81302,5807250,1
KK Nagar,1888,91,3,2,5,Yes,507651,129864,11805840,1
Chrompet,1211,78,2,1,4,No,384589,92832,13261700,1
Karapakkam,1248,78,1,1,3,Yes,182728,131336,5710250,1
KK Nagar,1892,137,3,2,5,Yes,780507,373286,16967540,1
Adyar,1030,52,1,1,3,No,189529,45947,5743315,1
Chrompet,1254,109,2,1,4,No,272860,54572,9095330,1
KK Nagar,1762,86,2,1,4,No,622716,326185,14826580,1
Karapakkam,1622,19,2,2,4,No,446750,279219,11168750,1
Chrompet,951,128,1,1,3,No,337941,33794,11264700,1
Anna Nagar,1981,126,2,1,5,No,745098,310458,20697180,1
Karapakkam,1628,179,2,2,4,No,228314,132182,6008250,1
Chrompet,797,144,1,1,2,No,200000,64286,7142850,1
Karapakkam,1587,117,2,2,4,Yes,495792,247896,11268000,1
Chrompet,1081,165,1,1,3,No,282974,101871,11318950,1
Anna Nagar,1895,162,2,1,5,Yes,574339,272811,14358470,1
Chrompet,973,112,1,1,3,Yes,328693,97390,12173800,1
Chrompet,844,51,1,1,3,Yes,232986,93195,9319450,1
Chrompet,965,172,1,1,3,No,197940,85774,6598000,1
Velachery,1742,63,2,1,4,No,341584,59777,8539610,1
KK Nagar,1304,68,1,1,3,Yes,485099,161700,10779980,1
T Nagar,1510,102,1,1,4,No,426395,157093,11220930,1
T Nagar,1888,34,2,1,5,Yes,840592,399281,21014810,1
Anna Nagar,1540,125,1,1,4,Yes,746576,95715,19142980,1
Karapakkam,1023,154,1,1,3,Yes,343588,87725,7310375,1
Karapakkam,798,116,1,1,2,No,337793,82572,7506500,1
Anna Nagar,1624,140,1,1,4,Yes,353677,183388,13099130,1
KK Nagar,1612,96,2,1,4,No,412788,111797,8599740,1
T Nagar,1723,8,1,1,4,Yes,533091,224460,14028720,1
Chrompet,950,24,1,1,3,Yes,379944,118733,11873250,1
T Nagar,1919,50,2,1,5,Yes,655886,184468,20496430,1
T Nagar,1528,163,1,1,4,Yes,454504,213049,14203260,1
Karapakkam,1081,112,1,1,3,Yes,279192,112865,5940250,1
Chrompet,1002,171,1,1,3,Yes,317199,51161,10232240,1
Chrompet,937,137,1,1,3,No,280153,99409,9037200,1
KK Nagar,2372,164,4,2,6,Yes,581744,235468,13851040,1
Chrompet,1237,19,2,1,4,No,413270,106650,13331300,1
Chrompet,1242,176,2,1,4,No,389115,194557,13896950,1
Velachery,1700,126,2,1,4,Yes,278399,80589,7326290,1
KK Nagar,2422,150,4,2,6,No,463717,175461,12532900,1
Chrompet,801,159,1,1,3,No,192018,59082,7385300,1
Velachery,1503,58,2,1,4,No,333850,161541,10769370,1
Anna Nagar,1549,173,1,1,4,Yes,685681,148255,18531930,1
Adyar,606,72,1,1,2,Yes,258160,120475,8605340,1
Chrompet,1277,38,2,1,4,Yes,324803,60901,10150100,1
Chrompet,791,3,1,1,2,No,276228,114301,9525100,1
T Nagar,1878,143,2,1,5,No,704977,165877,20734630,1
Karapakkam,806,195,1,1,2,No,216323,173058,7210750,1
T Nagar,1543,71,1,1,4,Yes,706087,95417,19083430,1
KK Nagar,1363,34,2,1,4,Yes,565740,113148,12572000,1
T Nagar,1584,184,1,1,4,No,279331,122905,11173220,1
Anna Nagar,1794,49,1,1,4,Yes,816678,293166,20940460,1
Karapakkam,704,128,1,1,2,Yes,264689,146276,6965500,1
Anna Nagar,1531,24,1,1,4,No,306275,58899,11779810,1
Chrompet,1003,47,1,1,3,Yes,303121,107559,9778110,1
Chrompet,1010,139,1,1,3,Yes,263871,107503,9773000,1
Anna Nagar,1794,10,1,1,4,Yes,316341,177151,12653630,1
KK Nagar,1756,155,2,1,4,No,361447,223247,10630800,1
Adyar,1188,47,1,1,3,Yes,425899,28393,14196640,1
Chrompet,1164,192,1,1,3,No,424830,154484,12873650,1
T Nagar,1851,181,2,1,5,Yes,383564,164385,13698720,1
Chrompet,1176,13,1,1,3,Yes,315560,174102,10881370,1
KK Nagar,1503,114,2,1,4,Yes,566388,260538,11327760,1
Karapakkam,1621,162,2,2,4,Yes,435739,186745,8892625,1
Karapakkam,883,151,1,1,2,No,222547,85984,5057875,1
Chrompet,1257,117,2,1,4,Yes,312904,66374,9481950,1
Karapakkam,552,62,1,1,2,Yes,173259,54453,4950250,1
Anna Nagar,1803,117,2,1,5,Yes,454787,233890,12993900,1
Karapakkam,721,75,1,1,2,Yes,238770,129065,6453250,1
Velachery,1573,177,2,1,4,No,290530,59815,8545010,1
